nickname,subjectNum,groupNum,task,condition,role,PS,PTDP,PDOQ,NASA,PAA
익명,83,21,2,A,Senior,6,6.0,6.0,3.6,
p84,84,21,2,A,Junior,7,6.4,6.5,3.2,
나무,81,21,2,A,Senior,7,7.0,7.0,3.6,
익명의 고라니,82,21,2,A,Senior,5,5.0,5.5,4.8,
익명,83,21,1,B,Senior,6,6.0,6.0,3.4,4.0
p84,84,21,1,B,Junior,7,7.0,7.0,4.4,4.25
나무,81,21,1,B,Senior,7,6.8,7.0,3.4,2.25
익명의 고라니,82,21,1,B,Senior,6,5.6,5.5,4.2,2.75
산타,4,1,1,A,Junior,6,6.4,6.0,4.2,
이강두,3,1,1,A,Senior,7,6.2,7.0,3.4,
p1,1,1,1,A,Senior,7,6.4,7.0,3.2,
hi,2,1,1,A,Senior,5,2.8,5.0,1.6,
산타,4,1,2,B,Junior,6,6.0,6.0,5.0,3.75
이강두,3,1,2,B,Senior,7,6.2,7.0,3.4,3.5
p1,1,1,2,B,Senior,6,5.8,6.0,4.2,2.5
hi,2,1,1,B,Senior,5,4.6,4.5,1.4,4.75
쿵야,67,17,1,A,Senior,6,5.4,5.5,5.2,
꽁꽁,68,17,1,A,Junior,2,3.0,2.0,5.8,
피크,66,17,1,A,Senior,6,5.4,5.5,4.6,
고드름,65,17,1,A,Senior,6,5.8,6.0,4.6,
꽁꽁,68,17,2,B,Junior,2,4.4,5.0,5.8,2.5
고드름,65,17,2,B,Senior,6,6.0,6.0,4.6,4.5
쿵야,67,17,2,B,Senior,7,7.0,7.0,3.8,5.0
피크,66,17,2,B,Senior,6,6.2,5.5,4.4,2.25
j,73,19,1,B,Senior,7,5.6,6.0,3.6,3.0
Qq,74,19,1,B,Senior,7,5.8,6.0,4.8,2.5
치즈케익,76,19,1,B,Junior,3,3.4,4.5,3.8,4.25
알감자,75,19,1,B,Senior,7,5.4,6.0,5.6,2.0
알감자,75,19,2,A,Senior,6,5.8,6.0,4.8,
j,73,19,2,A,Senior,6,5.8,5.5,3.4,
Qq,74,19,2,A,Senior,5,5.6,6.0,3.0,
치즈케익,76,19,2,A,Junior,1,1.8,1.0,5.2,
뿌뿌,17,5,1,A,Senior,3,4.2,4.5,4.6,
불닭소스반만넣어요,18,5,2,A,Senior,6,5.6,6.0,5.2,
불나게 일하는 네오,19,5,2,A,Senior,7,5.6,5.5,5.0,
도롱,20,5,2,A,Junior,2,4.6,7.0,4.0,
뿌뿌,17,5,1,B,Senior,4,4.6,5.5,4.0,4.0
불닭소스반만넣어요,18,5,1,B,Senior,6,5.6,6.0,5.4,5.0
도롱,20,5,1,B,Junior,6,5.2,5.0,3.4,3.0
불나게 일하는 네오,19,5,1,B,Senior,7,6.2,6.0,5.0,4.75
룰류,89,23,2,B,Senior,7,5.8,7.0,4.0,3.75
엄지척 어피치,91,23,2,B,Senior,5,5.0,5.5,3.8,3.5
뿅뿅 네오,90,23,2,B,Senior,6,6.6,6.5,4.0,5.5
비옷입은 튜브,92,23,2,B,Junior,1,2.4,2.0,4.6,3.25
룰류,89,23,1,A,Senior,5,2.6,2.5,4.6,
엄지척 어피치,91,23,1,A,Senior,4,4.2,5.0,4.8,
비옷입은 튜브,92,23,1,A,Junior,1,1.4,1.0,5.6,
뿅뿅 네오,90,23,1,A,Senior,6,5.6,6.0,4.2,
화난튜브,13,4,1,B,Senior,7,6.0,6.0,2.6,5.75
프로도,16,4,1,B,Junior,3,4.0,6.0,4.4,5.5
음료수,15,4,1,B,Senior,6,6.0,6.5,3.4,6.25
호잇,14,4,1,B,Senior,6,4.8,6.0,3.2,4.0
호잇,14,4,2,A,Senior,7,4.4,4.5,3.2,
화난튜브,13,4,2,A,Senior,7,5.4,4.5,3.0,
프로도,16,4,2,A,Junior,5,3.8,5.0,4.6,
음료수,15,4,2,A,Senior,7,6.4,6.5,3.2,
울고있는 어피치,33,9,1,A,Senior,7,6.6,7.0,3.8,
말썽쟁이 네오,35,9,1,A,Senior,6,5.6,5.5,4.2,
단무지,36,9,1,A,Junior,2,1.0,2.5,2.2,
권투하는 무지,34,9,1,A,Senior,6,6.0,6.0,4.8,
울고있는 어피치,33,9,2,B,Senior,7,7.0,7.0,4.2,6.75
권투하는 무지,34,9,2,B,Senior,6,6.0,7.0,4.2,5.5
단무지,36,9,2,B,Junior,1,1.2,1.0,5.6,7.0
말썽쟁이 네오,35,9,2,B,Senior,6,5.2,5.5,3.8,4.25
멜론,79,20,2,A,Senior,4,3.4,4.0,1.4,
유니유니,77,20,2,A,Senior,7,5.4,6.5,3.2,
튜브낀 튜브,80,20,2,A,Junior,2,1.8,3.0,4.2,
오리,78,20,2,A,Senior,6,6.0,7.0,2.6,
유니유니,77,20,1,B,Senior,7,6.2,6.5,4.2,4.25
멜론,79,20,1,B,Senior,4,3.8,5.0,1.8,2.25
튜브낀 튜브,80,20,1,B,Junior,5,6.6,6.5,5.0,5.25
오리,78,20,1,B,Senior,6,6.2,5.5,6.0,3.75
졸린 라이언,25,7,2,B,Senior,7,6.0,6.0,3.2,3.0
하츄핑,26,7,2,B,Senior,4,5.0,6.0,3.6,4.25
P28,28,7,2,B,Junior,3,4.6,4.0,3.4,4.0
페드로,27,7,2,B,Senior,6,6.0,6.5,3.8,5.0
졸린 라이언,25,7,1,A,Senior,6,6.2,6.5,3.0,
페드로,27,7,1,A,Senior,5,5.0,5.0,4.6,
하츄핑,26,7,1,A,Senior,5,5.2,5.0,3.4,
P28,28,7,1,A,Junior,4,4.8,4.0,3.8,
멋쟁이 프로도,61,16,1,B,Senior,7,6.2,6.0,5.0,4.25
우가우가,63,16,1,B,Senior,7,7.0,7.0,3.4,4.5
화나서방방뛰는튜브,62,16,1,B,Senior,6,6.8,7.0,5.0,5.0
무지,64,16,1,B,Junior,6,5.4,6.0,3.8,4.25
멋쟁이 프로도,61,16,2,A,Senior,7,5.6,5.0,5.0,
무지,64,16,2,A,Junior,6,5.0,4.0,4.8,
화나서방방뛰는튜브,62,16,2,A,Senior,4,6.0,7.0,2.8,
우가우가,63,16,2,A,Senior,7,6.8,6.0,3.4,
유빈,40,10,2,B,Junior,6,6.0,6.5,5.2,4.5
무지,39,10,2,B,Senior,6,6.0,6.5,3.2,5.25
라이언,38,10,2,B,Senior,5,5.6,7.0,4.8,4.25
터보,37,10,2,B,Senior,7,5.6,7.0,5.0,2.5
터보,37,10,1,A,Senior,7,7.0,7.0,3.4,
유빈,40,10,1,A,Junior,6,7.0,7.0,4.8,
무지,39,10,1,A,Senior,7,6.4,6.0,2.4,
라이언,38,10,1,A,Senior,6,5.6,5.5,4.8,
